City,Country,Latitude,Longitude,Max Temp,Wind Speed,Humidity,Cloudiness,Date
Sorland,NO,67.67,12.69,42.8,9.17,93,75,1555705200
Iqaluit,CA,63.75,-68.52,26.28,17.22,86,90,1555708962
Severo-Kurilsk,RU,50.68,156.12,34.43,19.39,88,0,1555709567
Hofn,IS,64.25,-15.21,36.41,23.13,98,100,1555709567
Mataura,NZ,-46.19,168.86,51.01,3.0,97,100,1555708206
Adre,TD,13.47,22.2,87.89,19.48,10,61,1555709567
Kruisfontein,ZA,-34.0,24.73,60.89,7.76,64,69,1555708971
Kangaatsiaq,GL,68.31,-53.46,16.61,7.85,73,0,1555709567
Westport,IE,53.8,-9.52,51.01,8.99,94,100,1555709524
Guerrero Negro,MX,27.97,-114.04,63.95,12.46,76,100,1555708980
Santa Isabel,CO,4.71,-75.1,80.6,3.36,83,75,1555707600
Binuangan,PH,8.92,124.79,75.0,4.0,89,11,1555709440
Provost,CA,52.35,-110.26,55.49,14.54,39,79,1555709568
Bisira,PA,8.52,-81.71,78.17,1.61,74,100,1555709569
Sao Gabriel da Cachoeira,BR,-0.13,-67.09,82.4,4.7,88,40,1555704000
Bredasdorp,ZA,-34.53,20.04,64.4,11.41,68,100,1555707600
Saint-Joseph,FR,43.56,6.97,55.51,4.7,62,0,1555709536
Grand Gaube,MU,-20.01,57.66,77.92,6.93,83,40,1555709342
Kavaratti,IN,10.57,72.64,84.47,11.95,70,98,1555709350
Areosa,PT,41.72,-8.86,63.63,10.29,55,0,1555709493
Albany,US,42.65,-73.75,72.23,11.41,50,90,1555708875
Tateyama,JP,36.66,137.31,45.7,2.24,70,40,1555708927
Santa Isabel do Rio Negro,BR,-0.41,-65.02,84.65,1.1,85,100,1555709570
Gat,SN,14.69,-16.54,69.8,20.8,73,0,1555707600
Oranjemund,ZA,-28.55,16.43,59.81,5.35,90,1,1555709570
Leningradskiy,RU,69.38,178.42,3.47,3.42,91,65,1555709570
Mackenzie,CA,55.34,-123.09,48.2,6.93,31,90,1555707600
Kavieng,PG,-2.57,150.8,83.75,9.13,75,100,1555709571
Tucurui,BR,-3.77,-49.67,78.89,3.04,95,81,1555709446
Rahuri,IN,19.39,74.65,82.49,6.93,26,0,1555709571
Pangnirtung,CA,66.15,-65.72,15.8,5.82,85,90,1555707600
Mackay,CA,53.65,-115.58,50.9,17.22,32,75,1555707600
Falam,MM,22.91,93.68,60.17,1.66,69,0,1555709571
Lac du Bonnet,CA,50.25,-96.06,61.0,10.0,42,100,1555709409
Ust-Nera,RU,64.57,143.24,11.39,1.21,83,66,1555709572
Sao Filipe,CV,14.9,-24.5,71.33,20.51,85,10,1555709572
Manavalakurichi,IN,8.13,77.3,82.4,4.7,83,40,1555707600
Kenai,US,60.55,-151.26,40.03,16.11,59,40,1555709524
Victoria,BN,5.28,115.24,77.63,1.12,94,75,1555707600
Souillac,FR,45.6,-0.6,62.15,5.82,55,0,1555709463
Rosarito,CO,4.91,-75.23,74.26,3.36,83,75,1555707600
Luderitz,NA,-26.65,15.16,59.0,3.36,82,54,1555704000
Mirnyy,RU,56.57,36.46,40.55,4.97,57,84,1555709573
Yar-Sale,RU,66.83,70.83,15.53,12.53,92,100,1555709573
Ordubad,AZ,38.91,46.02,42.8,6.93,81,90,1555707600
Longyearbyen,NO,78.22,15.63,33.8,5.82,94,75,1555707000
Mount Gambier,AU,-37.83,140.78,60.8,10.29,48,98,1555707600
Saint Anthony,US,43.97,-111.68,67.87,8.05,30,1,1555709464
Paoua,CF,7.24,16.43,81.41,2.28,42,100,1555709574
Kodiak,US,39.95,-94.76,63.14,12.75,2,1,1555709535
Arman,RU,59.7,150.17,27.05,6.11,98,100,1555709574
Opuwo,NA,-18.06,13.84,74.93,5.32,39,21,1555709574
Husavik,CA,50.56,-96.99,63.64,10.0,42,95,1555709409
Tuy Hoa,VN,13.08,109.3,78.53,2.8,76,100,1555709574
Traian,RO,46.63,27.03,42.94,6.93,93,75,1555709048
Pudozh,RU,61.81,36.54,31.73,5.14,95,0,1555709575
Kutum,SD,14.2,24.66,77.63,9.31,12,48,1555709575
Padang,ID,-0.92,100.36,77.0,2.24,94,100,1555707600
Kuusamo,FI,65.96,29.19,26.6,1.12,86,0,1555707000
Trapani,IT,38.02,12.54,58.28,3.36,87,20,1555709561
Brae,GB,60.4,-1.35,49.75,24.16,66,55,1555707000
Kapaa,US,22.08,-159.32,78.51,14.99,61,20,1555709460
Pyskowice,PL,50.4,18.63,51.62,3.36,52,0,1555709481
Nanortalik,GL,60.14,-45.24,30.83,21.61,65,0,1555709576
Menongue,AO,-14.66,17.68,64.49,3.11,85,100,1555709576
Sisimiut,GL,66.94,-53.67,25.97,4.41,43,2,1555709338
Teguldet,RU,57.31,88.17,19.85,5.7,91,0,1555709576
Hambantota,LK,6.12,81.12,77.0,3.36,100,40,1555708200
Olinda,EC,-2.03,-79.75,86.68,3.36,66,75,1555709516
Adrar,DZ,27.87,-0.29,77.0,8.05,9,0,1555707600
Zhezkazgan,KZ,47.8,67.71,40.01,10.18,83,98,1555709577
Flint,US,43.02,-83.72,39.74,14.99,86,90,1555709367
Darhan,MN,49.49,105.92,25.61,4.14,42,2,1555709577
Laguna de Duero,ES,41.58,-4.72,55.35,5.99,66,99,1555709523
Atuona,PF,-9.8,-139.03,83.93,10.94,72,22,1555709577
Omboue,GA,-1.57,9.26,83.75,12.3,82,100,1555709578
Inuvik,CA,68.36,-133.71,21.2,4.7,67,90,1555707600
Cayenne,GF,4.94,-52.33,82.4,13.87,78,75,1555707600
Sitka,US,37.17,-99.65,66.99,7.0,28,0,1555709510
East London,ZA,-33.02,27.91,71.15,6.08,19,100,1555709578
Bam,IR,29.11,58.36,63.41,9.8,24,88,1555709578
Cidreira,BR,-30.17,-50.22,73.13,4.23,67,97,1555709579
Mehamn,NO,71.03,27.85,38.75,16.53,83,100,1555709579
Sheksna,RU,59.21,38.5,41.63,4.32,91,100,1555709579
Ostrovnoy,RU,68.05,39.51,29.57,6.42,93,39,1555709579
Acapulco,MX,16.86,-99.88,82.4,9.17,69,5,1555706880
Necochea,AR,-38.55,-58.74,61.0,1.01,69,0,1555709509
Bonavista,CA,48.65,-53.11,32.0,5.01,87,100,1555709478
Abu Dhabi,AE,24.47,54.37,84.16,6.93,25,0,1555707600
Tasiilaq,GL,65.61,-37.64,35.6,9.17,93,86,1555707000
Saint George,GR,39.45,22.34,51.21,5.86,87,20,1555708999
Hamilton,BM,32.3,-64.78,69.08,14.99,64,40,1555708574
Georgetown,GY,6.8,-58.16,86.0,18.34,66,20,1555707600
Nortelandia,BR,-14.45,-56.8,84.65,3.15,70,51,1555709581
Evensk,RU,61.92,159.24,30.11,3.38,80,92,1555709581
Kahului,US,20.89,-156.47,74.62,13.87,73,40,1555709089
Flinders,AU,-34.58,150.85,61.86,6.93,100,0,1555709567
Chokurdakh,RU,70.62,147.9,3.47,6.93,86,6,1555708982
Eenhana,NA,-17.48,16.34,78.8,1.12,27,100,1555707600
Seddon,NZ,-41.67,174.07,56.53,1.01,67,0,1555709554
Meulaboh,ID,4.14,96.13,84.47,10.02,72,100,1555709582
Kongsberg,NO,59.67,9.65,45.3,5.82,43,0,1555709500
Nikolskoye,RU,59.7,30.79,47.35,4.47,82,100,1555709437
Huarmey,PE,-10.07,-78.15,69.71,14.32,87,61,1555709582
Batetskiy,RU,58.65,30.3,45.05,5.17,77,100,1555709583
Rio Grande,BR,-32.03,-52.1,75.2,1.23,53,0,1555707600
Antofagasta,CL,-23.65,-70.4,66.2,13.87,59,40,1555707600
Cherskiy,RU,68.75,161.3,-1.03,5.28,91,0,1555709583
Trairi,BR,-3.28,-39.27,75.65,3.18,95,100,1555709583
Yunyang,CN,32.84,110.81,52.43,3.65,57,75,1555709583
Moose Factory,CA,51.26,-80.61,50.0,10.29,43,1,1555707600
Ancud,CL,-41.87,-73.83,53.6,9.17,71,75,1555707600
Benemerito de las Americas,MX,16.52,-90.64,85.91,10.63,49,6,1555709584
Chuy,UY,-33.69,-53.46,73.31,7.43,68,100,1555709584
Kumbo,CM,6.21,10.69,71.51,1.16,61,98,1555709584
Mumford,GH,5.26,-0.76,81.41,6.35,79,100,1555709584
Healdsburg,US,38.61,-122.87,75.49,9.17,53,1,1555709348
Benguela,AO,-12.58,13.4,79.79,14.7,82,83,1555709584
Carnarvon,ZA,-30.97,22.13,61.79,11.54,24,69,1555709585
Port Hardy,CA,50.7,-127.42,51.8,14.99,66,20,1555707600
Russell,AR,-33.01,-68.8,75.2,3.36,50,40,1555707600
Baraut,IN,29.1,77.26,73.4,4.7,56,0,1555707600
De Aar,ZA,-30.65,24.01,73.31,7.29,12,100,1555709585
Ahipara,NZ,-35.17,173.16,64.49,8.05,69,1,1555709585
Great Falls,US,47.5,-111.29,71.85,17.22,30,1,1555709074
Saint-Pierre,FR,48.95,4.24,58.1,3.36,55,0,1555709525
Ubinskoye,RU,55.31,79.68,28.67,4.54,61,66,1555709587
Buzmeyin,TM,38.05,58.21,51.8,6.93,93,75,1555707600
Punta Alta,AR,-27.46,-55.82,84.2,4.7,66,0,1555707600
Esna,RO,45.2,27.57,41.0,4.7,93,40,1555704000
Kamenka,RU,53.19,44.05,42.01,1.28,34,0,1555708360
Arraial do Cabo,BR,-22.97,-42.02,77.92,13.87,83,0,1555707600
Miami Beach,US,45.45,-84.56,49.8,10.29,30,1,1555709458
Sorong,ID,-0.86,131.25,75.47,1.77,96,88,1555709588
Saldanha,PT,41.42,-6.55,56.93,12.75,62,99,1555709588
Puerto Ayora,EC,-0.74,-90.35,83.5,21.92,66,40,1555709448
Bathsheba,BB,13.22,-59.52,80.6,23.04,74,40,1555707600
Bambous Virieux,MU,-20.34,57.76,77.76,6.93,83,40,1555709342
Tiznit,MA,29.7,-9.73,62.87,33.11,76,1,1555709588
Tura,IN,25.52,90.21,76.01,4.14,55,76,1555709589
Saint-Francois,FR,46.42,3.91,54.55,3.49,62,0,1555708597
Erenhot,CN,43.65,111.97,46.67,26.93,40,100,1555709589
Hanko,FI,59.83,22.95,44.74,1.01,77,0,1555709501
Port-Cartier,CA,50.03,-66.88,40.44,8.05,86,75,1555709577
Kuching,MY,1.56,110.34,77.0,1.79,100,75,1555707600
West Wendover,US,40.74,-114.07,68.0,9.17,40,1,1555707360
Buala,SB,-8.15,159.59,81.41,10.56,77,100,1555709589
Cabo San Lucas,MX,22.89,-109.91,85.03,2.24,30,20,1555708601
Mount Isa,AU,-20.73,139.49,66.2,11.07,59,0,1555707600
Tessalit,ML,20.2,1.01,90.05,8.59,7,0,1555709590
Nhulunbuy,AU,-12.18,136.78,75.2,5.82,83,32,1555707600
Monetnyy,RU,57.05,60.88,24.8,2.24,79,0,1555707600
Cairns,AU,-16.92,145.77,70.18,11.41,83,7,1555709418
Ilulissat,GL,69.22,-51.1,19.4,5.82,48,0,1555707000
Arlit,NE,18.74,7.39,84.11,6.02,7,0,1555709590
Neryungri,RU,56.66,124.71,18.77,7.56,97,100,1555709590
Lavrentiya,RU,65.58,-170.99,1.31,6.04,85,0,1555709591
Alice Springs,AU,-23.7,133.88,57.2,4.7,50,36,1555707600
Sechura,PE,-5.56,-80.82,74.21,17.76,77,48,1555709591
Blackwater,GB,51.33,-0.78,55.62,2.24,58,0,1555709584
Torrevieja,ES,37.98,-0.68,56.25,11.41,93,90,1555709583
Gushikawa,JP,26.35,127.87,71.89,6.93,83,75,1555708987
Fort-Shevchenko,KZ,44.51,50.26,42.17,12.5,63,61,1555709592
Paamiut,GL,61.99,-49.67,29.21,5.57,56,0,1555709592
Jiexiu,CN,37.02,111.92,54.95,6.38,67,99,1555709592
San Cristobal,EC,-0.39,-78.55,54.01,3.36,87,90,1555709555
Geraldton,CA,49.72,-86.95,57.2,4.7,24,40,1555707600
Alofi,NU,-19.06,-169.92,80.6,21.92,65,40,1555707600
Kailua,US,21.39,-157.74,80.51,12.75,57,75,1555709464
Oktyabrskoye,RU,56.73,85.44,24.4,6.71,79,0,1555709474
Quelimane,MZ,-17.88,36.89,78.8,4.7,83,20,1555704000
Severnoye,RU,54.09,52.54,37.31,4.9,60,89,1555709594
Serrinha,BR,-11.66,-39.0,81.05,4.9,60,42,1555709594
Upernavik,GL,72.79,-56.15,8.33,6.73,70,0,1555709594
San Luis,AR,-33.3,-66.34,83.93,11.45,33,97,1555709491
Birjand,IR,32.86,59.22,62.6,4.7,42,0,1555707600
Kalmunai,LK,7.42,81.82,76.19,3.96,91,100,1555709596
Xining,CN,36.62,101.77,39.83,4.59,71,69,1555709596
Los Llanos de Aridane,ES,28.66,-17.92,61.07,12.75,72,5,1555709435
High Level,CA,58.52,-117.13,55.4,8.05,20,75,1555707600
Balabac,PH,7.99,117.06,84.11,10.42,75,68,1555709597
Berlevag,NO,70.86,29.09,40.55,19.71,75,89,1555709597
Coihaique,CL,-45.58,-72.07,54.41,3.36,62,0,1555707600
Liverpool,GB,53.41,-2.98,56.97,5.82,58,0,1555709580
Abnub,EG,27.27,31.15,69.8,10.29,46,0,1555704000
Provideniya,RU,64.42,-173.23,13.19,3.56,55,57,1555709597
Camacha,PT,33.08,-16.33,60.8,14.99,67,40,1555707600
Salalah,OM,17.01,54.1,82.4,5.82,74,40,1555707000
Ambovombe,MG,-25.18,46.09,76.91,27.16,75,32,1555709598
Falun,SE,60.61,15.63,42.48,6.93,70,26,1555709415
Sarkand,KZ,45.41,79.91,55.85,3.69,83,100,1555709598
Kongolo,CD,-5.39,27.0,75.65,4.47,71,51,1555709598
Vila Franca do Campo,PT,37.72,-25.43,62.6,3.36,93,75,1555707600
Fairbanks,US,64.84,-147.72,32.11,3.0,86,90,1555709543
Oktyabrskiy,RU,55.61,37.97,38.88,2.53,59,24,1555708945
Tiksi,RU,71.64,128.87,10.67,9.01,72,42,1555709599
Bunia,CD,1.56,30.25,71.15,4.97,58,66,1555709599
Lorengau,PG,-2.02,147.27,77.63,2.15,91,92,1555709599
Southampton,GB,50.9,-1.4,56.21,3.36,76,0,1555709589
Chute-aux-Outardes,CA,49.12,-68.38,44.51,3.36,65,75,1555709559
Torbay,CA,47.66,-52.73,32.22,26.4,85,90,1555709492
Itaituba,BR,-4.26,-55.99,87.8,4.7,70,40,1555707600
Huanren,CN,41.26,125.37,41.99,4.5,40,98,1555709317
San Patricio,PY,-26.98,-56.83,84.11,2.53,56,66,1555709600
Kyren,RU,51.68,102.13,-0.13,4.25,60,66,1555709600
Le Port,FR,42.87,1.37,53.13,2.64,60,78,1555709558
Issa,RU,53.87,44.84,37.31,2.48,42,15,1555709601
Port Hedland,AU,-20.31,118.58,75.2,9.17,60,34,1555707600
Nizhniy Baskunchak,RU,48.22,46.83,39.83,7.92,42,26,1555709601
Severomuysk,RU,56.17,113.57,-0.68,6.96,99,85,1555709601
Portland,US,45.52,-122.67,59.04,4.7,82,90,1555708935
Nautla,MX,20.22,-96.78,80.33,13.94,49,0,1555709601
Tromso,NO,69.65,18.96,44.85,19.46,87,75,1555708800
Limbang,BN,4.75,115.01,77.58,2.24,100,75,1555707600
Serra,BR,-20.13,-40.31,80.24,6.93,78,40,1555707879
Zhuanghe,CN,39.7,122.97,47.75,3.38,40,91,1555709602
Horsham,AU,-36.71,142.2,59.09,8.95,48,43,1555709603
Boa Vista,BR,2.82,-60.67,96.8,11.41,32,40,1555707600
Si Chiang Mai,LA,17.96,102.58,86.81,2.39,46,0,1555709603
Lagoa,PT,37.14,-8.45,56.39,3.36,76,0,1555709489
Ajdabiya,LY,30.75,20.22,65.93,13.35,60,0,1555709604
Zheshart,RU,62.09,49.59,30.65,2.55,92,97,1555709604
Kifri,IQ,34.69,44.96,59.09,4.68,66,1,1555709604
Alta Floresta,BR,-9.87,-56.08,86.0,4.7,74,20,1555704000
Marystown,CA,47.17,-55.16,36.0,17.29,100,100,1555708500
Hammerfest,NO,70.66,23.68,41.0,16.11,93,99,1555707000
Mirador,BR,-6.37,-44.36,77.27,1.01,88,100,1555709605
Kargasok,RU,59.06,80.87,26.87,7.56,86,62,1555709605
Soe,EE,57.91,26.05,45.82,5.82,56,100,1555709416
Itoman,JP,26.12,127.67,71.37,4.7,78,75,1555709592
Inhambane,MZ,-23.87,35.38,68.63,4.03,93,0,1555709606
Paita,PE,-5.09,-81.11,62.6,13.87,290,0,1555707600
Togur,RU,58.36,82.83,23.27,9.1,85,12,1555709606
Usinsk,RU,66.0,57.56,30.65,7.67,96,96,1555709606
Balikpapan,ID,-1.24,116.86,78.8,2.24,94,20,1555707600
Riberalta,BO,-11.0,-66.08,93.2,2.04,59,75,1555707600
Andra,RU,62.52,65.89,21.11,5.82,91,16,1555709606
Port Lincoln,AU,-34.72,135.86,74.21,23.17,45,85,1555709606
Puerto Escondido,MX,15.86,-97.07,86.0,11.41,66,40,1555706700
Emirdag,TR,39.02,31.15,30.11,4.83,89,0,1555709607
Coquimbo,CL,-29.95,-71.34,60.8,3.36,72,75,1555707600
Talnakh,RU,69.49,88.39,-11.21,17.9,83,36,1555707600
Margate,AU,-43.03,147.26,43.88,10.29,87,0,1555709595
Benton Harbor,US,42.12,-86.45,44.69,11.41,81,90,1555709527
Nizhneangarsk,RU,55.78,109.57,9.59,7.7,98,100,1555709607
Shimoda,JP,34.7,138.93,54.99,5.82,82,75,1555709411
Wajir,KE,1.75,40.07,86.27,3.09,57,38,1555709607
Cape Coast,GH,5.11,-1.24,83.93,10.45,79,100,1555709608
Namibe,AO,-15.19,12.15,75.65,11.3,73,0,1555709608
Giyon,ET,8.53,37.98,65.93,3.15,78,100,1555709420
Hilo,US,19.71,-155.08,74.88,11.41,57,75,1555709291
Peniche,PT,39.36,-9.38,56.3,1.12,93,20,1555709477
Port Moresby,PG,-9.47,147.16,75.2,8.68,94,90,1555707600
Nishihara,JP,35.74,139.53,52.11,17.22,76,20,1555709609
Hami,CN,42.84,93.51,63.77,9.17,24,0,1555709609
Tocopilla,CL,-22.09,-70.2,63.05,15.7,95,100,1555709609
Niimi,JP,34.97,133.47,41.72,2.24,86,20,1555709591
Ola,RU,59.58,151.3,31.55,5.64,88,100,1555709610
Kholodnyy,RU,62.72,147.95,21.29,9.31,98,100,1555709610
Superior,US,39.95,-105.17,71.01,6.93,18,1,1555709607
Kiama,AU,-34.67,150.86,63.03,6.93,100,6,1555709567
Antequera,PY,-24.09,-57.2,88.25,2.46,59,73,1555709611
Bontang,ID,0.12,117.47,73.31,1.61,98,100,1555709611
Pevek,RU,69.7,170.27,7.43,13.98,91,100,1555709611
Redlands,US,34.06,-117.19,83.68,6.93,14,40,1555709412
Shingu,JP,33.72,135.99,41.27,4.81,70,0,1555709611
Lamar,US,38.09,-102.62,72.66,8.05,20,1,1555709498
Burns Lake,CA,54.23,-125.76,42.71,12.08,47,96,1555709612
Staryy Nadym,RU,65.61,72.68,16.43,12.59,92,95,1555709612
Beringovskiy,RU,63.05,179.32,22.37,9.91,84,4,1555709612
Bosaso,SO,11.28,49.18,83.57,6.24,79,32,1555709612
Horodnytsya,UA,50.81,27.32,45.59,3.2,61,33,1555709612
Calama,CL,-22.46,-68.93,75.2,24.16,5,0,1555707600
Faya,SA,18.39,42.45,66.25,4.7,82,0,1555707600
Manadhoo,MV,5.77,73.38,84.29,6.64,74,100,1555709613
Phalaborwa,ZA,-23.95,31.14,71.6,3.36,73,0,1555707600
Nalut,LY,31.86,10.98,79.25,23.82,19,99,1555709613
Chicama,PE,-7.84,-79.15,71.6,9.17,83,75,1555707600
Kulhudhuffushi,MV,6.62,73.07,85.37,9.57,75,100,1555709363
Catuday,PH,16.29,119.81,83.93,1.19,71,5,1555709614
Destin,US,30.39,-86.5,63.55,8.05,45,75,1555709445
Chabahar,IR,25.29,60.65,80.33,1.54,54,0,1555709614
Sept-Iles,CA,50.2,-66.38,40.42,8.05,86,75,1555709604
Carutapera,BR,-1.2,-46.02,77.99,5.86,93,100,1555709614
Grindavik,IS,63.84,-22.43,42.8,24.16,87,40,1555707600
Kalakamati,BW,-20.59,27.31,70.25,11.32,48,0,1555709614
Pouebo,NC,-20.4,164.57,75.47,12.62,81,32,1555709614
Cap Malheureux,MU,-19.98,57.61,77.92,6.93,83,40,1555709342
Honningsvag,NO,70.98,25.97,41.81,25.9,90,96,1555709615
Maldonado,UY,-34.91,-54.96,75.2,4.7,53,0,1555707600
Abrau-Dyurso,RU,44.7,37.6,41.0,17.9,75,100,1555707600
Farim,GW,12.48,-15.22,85.55,11.34,37,0,1555709615
Mugur-Aksy,RU,50.38,90.44,16.61,8.37,92,99,1555709615
Henties Bay,NA,-22.12,14.28,57.0,1.01,91,0,1555707728
Tautira,PF,-17.73,-149.15,87.37,12.75,66,20,1555709588
Novyy Urgal,RU,51.07,132.56,20.57,1.19,87,0,1555709616
Jumla,NP,29.28,82.18,36.23,4.34,60,83,1555709616
Pacific Grove,US,36.62,-121.92,68.67,11.41,67,20,1555709435
Wisconsin Rapids,US,44.39,-89.82,59.95,13.87,21,1,1555709207
Yerbogachen,RU,61.28,108.01,16.25,5.12,90,98,1555709616
Banjar,ID,-7.37,108.54,73.49,1.61,96,100,1555709616
Atbasar,KZ,51.81,68.36,28.13,12.86,63,100,1555709616
Channel-Port aux Basques,CA,47.57,-59.14,41.27,18.99,98,100,1555709617
Charters Towers,AU,-20.07,146.27,65.21,8.05,86,0,1555709617
Kapit,MY,2.02,112.94,72.95,1.28,94,88,1555709617
